dataset,dt_mode,lr,eff_bs,phys_bs,accum,seed,exit_code,wall_sec,output_dir
imm_gdelt,replace,2e-3,64,16,4,1,0,76,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/replace_lr-2e-3_bs-16_accum-4/seed1
imm_gdelt,replace,2e-3,64,16,4,2,0,79,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/replace_lr-2e-3_bs-16_accum-4/seed2
imm_gdelt,replace,2e-3,64,16,4,3,0,65,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/replace_lr-2e-3_bs-16_accum-4/seed3
imm_gdelt,learned,2e-3,128,32,4,1,0,62,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/learned_lr-2e-3_bs-32_accum-4/seed1
imm_gdelt,learned,2e-3,128,32,4,2,0,61,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/learned_lr-2e-3_bs-32_accum-4/seed2
imm_gdelt,learned,2e-3,128,32,4,3,0,72,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/learned_lr-2e-3_bs-32_accum-4/seed3
imm_gdelt,concat,2e-3,64,16,4,1,0,71,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/concat_lr-2e-3_bs-16_accum-4/seed1
imm_gdelt,concat,2e-3,64,16,4,2,0,47,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/concat_lr-2e-3_bs-16_accum-4/seed2
imm_gdelt,concat,2e-3,64,16,4,3,0,80,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/concat_lr-2e-3_bs-16_accum-4/seed3
imm_repohealth,replace,5e-4,64,16,4,1,0,99,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/replace_lr-5e-4_bs-16_accum-4/seed1
imm_repohealth,replace,5e-4,64,16,4,2,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/replace_lr-5e-4_bs-16_accum-4/seed2
imm_repohealth,replace,5e-4,64,16,4,3,0,66,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/replace_lr-5e-4_bs-16_accum-4/seed3
imm_repohealth,learned,1e-4,64,16,4,1,0,118,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/learned_lr-1e-4_bs-16_accum-4/seed1
imm_repohealth,learned,1e-4,64,16,4,2,0,59,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/learned_lr-1e-4_bs-16_accum-4/seed2
imm_repohealth,learned,1e-4,64,16,4,3,0,147,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/learned_lr-1e-4_bs-16_accum-4/seed3
imm_repohealth,concat,1e-4,64,16,4,1,0,135,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/concat_lr-1e-4_bs-16_accum-4/seed1
imm_repohealth,concat,1e-4,64,16,4,2,0,76,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/concat_lr-1e-4_bs-16_accum-4/seed2
imm_repohealth,concat,1e-4,64,16,4,3,0,83,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/concat_lr-1e-4_bs-16_accum-4/seed3
imm_fnspid,replace,5e-4,64,16,4,1,0,116,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_fnspid/replace_lr-5e-4_bs-16_accum-4/seed1
imm_fnspid,replace,5e-4,64,16,4,2,0,138,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_fnspid/replace_lr-5e-4_bs-16_accum-4/seed2
