dataset,dt_mode,lr,eff_bs,phys_bs,accum,seed,exit_code,wall_sec,output_dir
imm_gdelt,replace,2e-3,128,32,4,1,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/replace_lr-2e-3_bs-32_accum-4/seed1
imm_gdelt,replace,2e-3,128,32,4,2,0,28,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/replace_lr-2e-3_bs-32_accum-4/seed2
imm_gdelt,replace,2e-3,128,32,4,3,0,35,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/replace_lr-2e-3_bs-32_accum-4/seed3
imm_gdelt,learned,2e-3,64,16,4,1,0,32,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/learned_lr-2e-3_bs-16_accum-4/seed1
imm_gdelt,learned,2e-3,64,16,4,2,0,29,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/learned_lr-2e-3_bs-16_accum-4/seed2
imm_gdelt,learned,2e-3,64,16,4,3,0,33,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/learned_lr-2e-3_bs-16_accum-4/seed3
imm_gdelt,concat,2e-3,128,32,4,1,0,34,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/concat_lr-2e-3_bs-32_accum-4/seed1
imm_gdelt,concat,2e-3,128,32,4,2,0,29,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/concat_lr-2e-3_bs-32_accum-4/seed2
imm_gdelt,concat,2e-3,128,32,4,3,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_gdelt/concat_lr-2e-3_bs-32_accum-4/seed3
imm_repohealth,replace,5e-4,128,32,4,1,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/replace_lr-5e-4_bs-32_accum-4/seed1
imm_repohealth,replace,5e-4,128,32,4,2,0,43,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/replace_lr-5e-4_bs-32_accum-4/seed2
imm_repohealth,replace,5e-4,128,32,4,3,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/replace_lr-5e-4_bs-32_accum-4/seed3
imm_repohealth,learned,2e-3,128,32,4,1,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/learned_lr-2e-3_bs-32_accum-4/seed1
imm_repohealth,learned,2e-3,128,32,4,2,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/learned_lr-2e-3_bs-32_accum-4/seed2
imm_repohealth,learned,2e-3,128,32,4,3,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/learned_lr-2e-3_bs-32_accum-4/seed3
imm_repohealth,concat,2e-3,128,32,4,1,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/concat_lr-2e-3_bs-32_accum-4/seed1
imm_repohealth,concat,2e-3,128,32,4,2,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/concat_lr-2e-3_bs-32_accum-4/seed2
imm_repohealth,concat,2e-3,128,32,4,3,0,45,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_repohealth/concat_lr-2e-3_bs-32_accum-4/seed3
imm_fnspid,replace,5e-4,64,16,4,1,0,172,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_fnspid/replace_lr-5e-4_bs-16_accum-4/seed1
imm_fnspid,replace,5e-4,64,16,4,2,0,138,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_fnspid/replace_lr-5e-4_bs-16_accum-4/seed2
imm_fnspid,replace,5e-4,64,16,4,3,0,127,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_fnspid/replace_lr-5e-4_bs-16_accum-4/seed3
imm_fnspid,learned,5e-4,128,32,4,1,0,74,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_fnspid/learned_lr-5e-4_bs-32_accum-4/seed1
imm_fnspid,learned,5e-4,128,32,4,2,0,46,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_fnspid/learned_lr-5e-4_bs-32_accum-4/seed2
imm_fnspid,learned,5e-4,128,32,4,3,0,107,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm_d64/imm_fnspid/learned_lr-5e-4_bs-32_accum-4/seed3
