dataset,dt_mode,lr,eff_bs,phys_bs,accum,seed,exit_code,wall_sec,output_dir
imm_gdelt,replace,2e-3,64,16,4,1,0,92,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/replace_lr-2e-3_bs-16_accum-4/seed1
imm_gdelt,replace,2e-3,64,16,4,2,0,63,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/replace_lr-2e-3_bs-16_accum-4/seed2
imm_gdelt,replace,2e-3,64,16,4,3,0,57,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/replace_lr-2e-3_bs-16_accum-4/seed3
imm_gdelt,learned,2e-3,64,16,4,1,0,55,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/learned_lr-2e-3_bs-16_accum-4/seed1
imm_gdelt,learned,2e-3,64,16,4,2,0,108,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/learned_lr-2e-3_bs-16_accum-4/seed2
imm_gdelt,learned,2e-3,64,16,4,3,0,45,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/learned_lr-2e-3_bs-16_accum-4/seed3
imm_gdelt,concat,5e-4,64,16,4,1,0,96,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/concat_lr-5e-4_bs-16_accum-4/seed1
imm_gdelt,concat,5e-4,64,16,4,2,0,80,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/concat_lr-5e-4_bs-16_accum-4/seed2
imm_gdelt,concat,5e-4,64,16,4,3,0,88,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_gdelt/concat_lr-5e-4_bs-16_accum-4/seed3
imm_repohealth,replace,1e-4,64,16,4,1,0,120,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/replace_lr-1e-4_bs-16_accum-4/seed1
imm_repohealth,replace,1e-4,64,16,4,2,0,52,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/replace_lr-1e-4_bs-16_accum-4/seed2
imm_repohealth,replace,1e-4,64,16,4,3,0,90,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/replace_lr-1e-4_bs-16_accum-4/seed3
imm_repohealth,learned,1e-4,64,16,4,1,0,113,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/learned_lr-1e-4_bs-16_accum-4/seed1
imm_repohealth,learned,1e-4,64,16,4,2,0,108,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_repohealth/learned_lr-1e-4_bs-16_accum-4/seed2
