dataset,dt_mode,lr,bs,grid_K,seed,exit_code,wall_sec,output_dir
activity,replace,5e-4,128,128,1,0,519,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/replace_lr-5e-4_bs-128/seed1
activity,replace,5e-4,128,128,2,0,517,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/replace_lr-5e-4_bs-128/seed2
activity,replace,5e-4,128,128,3,0,525,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/replace_lr-5e-4_bs-128/seed3
activity,learned,5e-4,128,128,1,0,521,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/learned_lr-5e-4_bs-128/seed1
activity,learned,5e-4,128,128,2,0,525,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/learned_lr-5e-4_bs-128/seed2
activity,learned,5e-4,128,128,3,0,532,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/learned_lr-5e-4_bs-128/seed3
activity,concat,2e-3,128,128,1,0,278,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/concat_lr-2e-3_bs-128/seed1
activity,concat,2e-3,128,128,2,0,222,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/concat_lr-2e-3_bs-128/seed2
activity,concat,2e-3,128,128,3,0,224,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/activity/concat_lr-2e-3_bs-128/seed3
ushcn,replace,5e-4,128,128,1,0,217,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/replace_lr-5e-4_bs-128/seed1
ushcn,replace,5e-4,128,128,2,0,148,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/replace_lr-5e-4_bs-128/seed2
ushcn,replace,5e-4,128,128,3,0,171,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/replace_lr-5e-4_bs-128/seed3
ushcn,learned,5e-4,128,128,1,0,281,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/learned_lr-5e-4_bs-128/seed1
ushcn,learned,5e-4,128,128,2,0,148,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/learned_lr-5e-4_bs-128/seed2
ushcn,learned,5e-4,128,128,3,0,251,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/learned_lr-5e-4_bs-128/seed3
ushcn,concat,1e-4,128,128,1,0,522,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/concat_lr-1e-4_bs-128/seed1
ushcn,concat,1e-4,128,128,2,0,503,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/concat_lr-1e-4_bs-128/seed2
ushcn,concat,1e-4,128,128,3,0,337,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_real_d64/ushcn/concat_lr-1e-4_bs-128/seed3
