dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_gdelt,replace,1e-4,64,16,4,1,0,52,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-64/seed1
imm_gdelt,replace,1e-4,128,32,4,2,0,98,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-128/seed1
imm_gdelt,replace,1e-4,256,32,8,3,0,77,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-256/seed1
imm_gdelt,replace,5e-4,64,16,4,4,0,65,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-64/seed1
imm_gdelt,replace,5e-4,128,32,4,5,0,65,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-128/seed1
imm_gdelt,replace,5e-4,256,32,8,6,0,58,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-256/seed1
imm_gdelt,replace,2e-3,64,16,4,7,0,74,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-64/seed1
imm_gdelt,replace,2e-3,128,32,4,8,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-128/seed1
imm_gdelt,replace,2e-3,256,32,8,9,0,102,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-256/seed1
imm_gdelt,learned,1e-4,64,16,4,10,0,51,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-64/seed1
imm_gdelt,learned,1e-4,128,32,4,11,0,54,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-128/seed1
imm_gdelt,learned,1e-4,256,32,8,12,0,76,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-256/seed1
imm_gdelt,learned,5e-4,64,16,4,13,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-5e-4_ebs-64/seed1
