dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,1e-4,8,8,1,1.0213468074798584,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-1e-4_ebs-8/seed1
concat,2e-3,16,16,1,1.0383895635604858,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-2e-3_ebs-16/seed1
concat,2e-3,8,8,1,1.0490047931671143,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-2e-3_ebs-8/seed1
concat,5e-4,16,16,1,1.0509787797927856,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-5e-4_ebs-16/seed1
concat,1e-4,16,16,1,1.0719977617263794,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-1e-4_ebs-16/seed1
concat,5e-4,8,8,1,1.0728254318237305,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-5e-4_ebs-8/seed1
concat,5e-4,32,32,1,1.0729777812957764,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-5e-4_ebs-32/seed1
concat,2e-3,32,32,1,1.0815531015396118,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-2e-3_ebs-32/seed1
concat,1e-4,32,32,1,1.0948777198791504,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-1e-4_ebs-32/seed1
learned,5e-4,8,8,1,1.0057913064956665,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-8/seed1
learned,2e-3,8,8,1,1.0378406047821045,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-8/seed1
learned,2e-3,16,16,1,1.0690962076187134,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-16/seed1
learned,1e-4,32,32,1,1.0790657997131348,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-32/seed1
learned,1e-4,16,16,1,1.0791981220245361,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-16/seed1
learned,1e-4,8,8,1,1.0798307657241821,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-8/seed1
learned,5e-4,16,16,1,1.0818699598312378,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-16/seed1
learned,5e-4,32,32,1,1.081870675086975,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-32/seed1
learned,2e-3,32,32,1,1.1028318405151367,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-32/seed1
replace,2e-3,16,16,1,1.0345419645309448,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-2e-3_ebs-16/seed1
replace,2e-3,8,8,1,1.076280117034912,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-2e-3_ebs-8/seed1
replace,1e-4,32,32,1,1.0791311264038086,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-1e-4_ebs-32/seed1
replace,1e-4,16,16,1,1.0792570114135742,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-1e-4_ebs-16/seed1
replace,1e-4,8,8,1,1.0797487497329712,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-1e-4_ebs-8/seed1
replace,5e-4,8,8,1,1.081459879875183,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-5e-4_ebs-8/seed1
replace,5e-4,16,16,1,1.0818270444869995,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-5e-4_ebs-16/seed1
replace,5e-4,32,32,1,1.0818296670913696,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-5e-4_ebs-32/seed1
replace,2e-3,32,32,1,1.1026430130004883,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-2e-3_ebs-32/seed1
