dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,5e-4,32,32,1,0.6267757415771484,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-32/seed1
concat,1e-4,32,32,1,0.6272750496864319,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-32/seed1
concat,1e-4,128,32,4,0.6365076899528503,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-128/seed1
concat,5e-4,128,32,4,0.6378629207611084,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-128/seed1
concat,1e-4,64,16,4,0.6403051614761353,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-64/seed1
concat,2e-3,128,32,4,0.6412160396575928,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-128/seed1
concat,5e-4,64,16,4,0.6465296149253845,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-64/seed1
concat,2e-3,64,16,4,0.6512289047241211,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,32,32,1,0.652398407459259,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-32/seed1
learned,5e-4,32,32,1,0.6234449744224548,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-32/seed1
learned,5e-4,128,32,4,0.6239545345306396,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-128/seed1
learned,1e-4,64,16,4,0.6244866251945496,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-64/seed1
learned,1e-4,32,32,1,0.626387894153595,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-32/seed1
learned,1e-4,128,32,4,0.626644492149353,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-128/seed1
learned,2e-3,64,16,4,0.6292725205421448,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-64/seed1
learned,5e-4,64,16,4,0.6294283866882324,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-64/seed1
learned,2e-3,32,32,1,0.6506133675575256,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-32/seed1
learned,2e-3,128,32,4,0.653468132019043,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-128/seed1
replace,5e-4,32,32,1,0.621066153049469,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-32/seed1
replace,1e-4,128,32,4,0.6228870153427124,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-128/seed1
replace,1e-4,64,16,4,0.6249766945838928,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-64/seed1
replace,1e-4,32,32,1,0.6274758577346802,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-32/seed1
replace,2e-3,128,32,4,0.6278520822525024,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-128/seed1
replace,5e-4,64,16,4,0.6313160061836243,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-64/seed1
replace,5e-4,128,32,4,0.6349535584449768,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-128/seed1
replace,2e-3,64,16,4,0.6798039674758911,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,32,32,1,0.7209148406982422,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-32/seed1
