dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,5e-4,32,32,1,0.30983760952949524,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-5e-4_ebs-32/seed1
concat,1e-4,32,32,1,0.3103989064693451,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-1e-4_ebs-32/seed1
concat,2e-3,32,32,1,0.3315529227256775,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-2e-3_ebs-32/seed1
concat,2e-3,64,16,4,0.35307466983795166,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-2e-3_ebs-64/seed1
concat,5e-4,64,16,4,0.38805055618286133,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-5e-4_ebs-64/seed1
concat,2e-3,128,32,4,0.46825742721557617,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-2e-3_ebs-128/seed1
concat,1e-4,128,32,4,1.3122133016586304,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-1e-4_ebs-128/seed1
concat,5e-4,128,32,4,1.3122133016586304,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-5e-4_ebs-128/seed1
concat,1e-4,64,16,4,1.3545819520950317,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-1e-4_ebs-64/seed1
learned,5e-4,32,32,1,0.3057059347629547,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-32/seed1
learned,2e-3,32,32,1,0.37652650475502014,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-32/seed1
learned,2e-3,128,32,4,0.5351085066795349,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-128/seed1
learned,2e-3,64,16,4,0.5364097952842712,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-64/seed1
learned,1e-4,128,32,4,0.8136678338050842,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-128/seed1
learned,5e-4,128,32,4,0.8136678338050842,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-128/seed1
learned,1e-4,64,16,4,0.8370734453201294,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-64/seed1
learned,5e-4,64,16,4,0.9401131868362427,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-64/seed1
learned,1e-4,32,32,1,0.9682103395462036,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-32/seed1
replace,5e-4,32,32,1,0.33975180983543396,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-5e-4_ebs-32/seed1
replace,2e-3,32,32,1,0.38936907052993774,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-2e-3_ebs-32/seed1
replace,2e-3,128,32,4,0.5333084464073181,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-2e-3_ebs-128/seed1
replace,2e-3,64,16,4,0.5349828600883484,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-2e-3_ebs-64/seed1
replace,1e-4,128,32,4,0.8108881711959839,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-1e-4_ebs-128/seed1
replace,5e-4,128,32,4,0.8108881711959839,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-5e-4_ebs-128/seed1
replace,1e-4,64,16,4,0.8343260884284973,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-1e-4_ebs-64/seed1
replace,5e-4,64,16,4,0.9376091361045837,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-5e-4_ebs-64/seed1
replace,1e-4,32,32,1,0.96579509973526,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-1e-4_ebs-32/seed1
