dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,1e-4,64,16,4,0.18443414568901062,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-64/seed1
concat,5e-4,128,32,4,0.18993769586086273,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-128/seed1
concat,5e-4,64,16,4,0.19085128605365753,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-64/seed1
concat,1e-4,128,32,4,0.19500677287578583,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-128/seed1
concat,1e-4,256,32,8,0.19606007635593414,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-256/seed1
concat,5e-4,256,32,8,0.20060282945632935,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-256/seed1
concat,2e-3,256,32,8,0.21643415093421936,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-256/seed1
concat,2e-3,128,32,4,0.2297709882259369,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-128/seed1
concat,2e-3,64,16,4,0.24837647378444672,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-64/seed1
learned,1e-4,128,32,4,0.18697302043437958,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-128/seed1
learned,2e-3,64,16,4,0.18944229185581207,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-64/seed1
learned,1e-4,64,16,4,0.18954426050186157,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-64/seed1
learned,5e-4,64,16,4,0.1898341029882431,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-64/seed1
learned,5e-4,256,32,8,0.19114236533641815,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-256/seed1
learned,5e-4,128,32,4,0.19685246050357819,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-128/seed1
learned,1e-4,256,32,8,0.1973710060119629,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-256/seed1
learned,2e-3,256,32,8,0.21606671810150146,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-256/seed1
learned,2e-3,128,32,4,0.25365787744522095,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-128/seed1
replace,5e-4,64,16,4,0.1904952973127365,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-64/seed1
replace,1e-4,128,32,4,0.1905856877565384,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-128/seed1
replace,1e-4,64,16,4,0.19606773555278778,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-64/seed1
replace,5e-4,256,32,8,0.19613760709762573,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-256/seed1
replace,5e-4,128,32,4,0.19943545758724213,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-128/seed1
replace,2e-3,64,16,4,0.20724765956401825,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,256,32,8,0.21488331258296967,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-256/seed1
replace,1e-4,256,32,8,0.22007176280021667,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-256/seed1
replace,2e-3,128,32,4,0.24586763978004456,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-128/seed1
