dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,2e-3,64,16,4,0.9826632142066956,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,128,32,4,0.983229398727417,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-2e-3_ebs-128/seed1
concat,5e-4,128,32,4,0.9833270311355591,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-5e-4_ebs-128/seed1
concat,1e-4,256,32,8,0.9839115142822266,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-1e-4_ebs-256/seed1
concat,1e-4,128,32,4,0.984544038772583,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-1e-4_ebs-128/seed1
concat,5e-4,64,16,4,0.9858447313308716,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-5e-4_ebs-64/seed1
concat,1e-4,64,16,4,0.9867103695869446,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-1e-4_ebs-64/seed1
concat,2e-3,256,32,8,0.9873032569885254,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-2e-3_ebs-256/seed1
concat,5e-4,256,32,8,0.9896169900894165,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/concat/lr-5e-4_ebs-256/seed1
learned,2e-3,128,32,4,0.9833080768585205,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-2e-3_ebs-128/seed1
learned,2e-3,64,16,4,0.9837259650230408,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-2e-3_ebs-64/seed1
learned,2e-3,256,32,8,0.9842923283576965,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-2e-3_ebs-256/seed1
learned,1e-4,256,32,8,0.9845984578132629,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-256/seed1
learned,5e-4,128,32,4,0.9851887822151184,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-5e-4_ebs-128/seed1
learned,5e-4,256,32,8,0.9852184653282166,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-5e-4_ebs-256/seed1
learned,1e-4,64,16,4,0.9859840273857117,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-64/seed1
learned,1e-4,128,32,4,0.9863668084144592,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-128/seed1
learned,5e-4,64,16,4,0.9864213466644287,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-5e-4_ebs-64/seed1
replace,2e-3,64,16,4,0.9829206466674805,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,256,32,8,0.9834186434745789,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-256/seed1
replace,5e-4,64,16,4,0.9849027991294861,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-64/seed1
replace,5e-4,128,32,4,0.9850640892982483,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-128/seed1
replace,1e-4,256,32,8,0.985211968421936,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-256/seed1
replace,1e-4,128,32,4,0.9855418801307678,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-128/seed1
replace,5e-4,256,32,8,0.985567033290863,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-5e-4_ebs-256/seed1
replace,1e-4,64,16,4,0.9880533814430237,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-1e-4_ebs-64/seed1
replace,2e-3,128,32,4,1.041441798210144,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/replace/lr-2e-3_ebs-128/seed1
