dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,5e-4,8,8,1,0.19666144251823425,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-5e-4_ebs-8/seed1
concat,5e-4,16,16,1,0.21741707623004913,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-5e-4_ebs-16/seed1
concat,1e-4,16,16,1,0.27124232053756714,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-1e-4_ebs-16/seed1
concat,1e-4,8,8,1,0.2768486738204956,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-1e-4_ebs-8/seed1
concat,1e-4,32,32,1,0.35302218794822693,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-1e-4_ebs-32/seed1
concat,2e-3,8,8,1,0.38261985778808594,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-2e-3_ebs-8/seed1
concat,2e-3,32,32,1,0.3940156400203705,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-2e-3_ebs-32/seed1
concat,2e-3,16,16,1,0.39636656641960144,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-2e-3_ebs-16/seed1
concat,5e-4,32,32,1,0.4171001613140106,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-5e-4_ebs-32/seed1
learned,1e-4,8,8,1,0.253104567527771,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-8/seed1
learned,5e-4,8,8,1,0.25840428471565247,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-8/seed1
learned,5e-4,16,16,1,0.27242469787597656,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-16/seed1
learned,2e-3,16,16,1,0.38864752650260925,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-16/seed1
learned,5e-4,32,32,1,0.40970584750175476,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-32/seed1
learned,1e-4,16,16,1,0.4105280041694641,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-16/seed1
learned,1e-4,32,32,1,0.4118528366088867,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-32/seed1
learned,2e-3,8,8,1,0.4158114790916443,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-8/seed1
learned,2e-3,32,32,1,0.4359053671360016,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-32/seed1
replace,1e-4,8,8,1,0.21609815955162048,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-8/seed1
replace,5e-4,32,32,1,0.2822217345237732,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-32/seed1
replace,5e-4,8,8,1,0.2959659993648529,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-8/seed1
replace,1e-4,16,16,1,0.4042302668094635,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-16/seed1
replace,2e-3,32,32,1,0.40800705552101135,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-32/seed1
replace,1e-4,32,32,1,0.4095718264579773,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-32/seed1
replace,5e-4,16,16,1,0.4143557548522949,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-16/seed1
replace,2e-3,8,8,1,0.42975565791130066,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-8/seed1
replace,2e-3,16,16,1,0.4342479407787323,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-16/seed1
