dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,1e-4,64,16,4,0.47629421949386597,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-64/seed1
concat,1e-4,128,32,4,0.4945673942565918,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-128/seed1
concat,5e-4,64,16,4,0.5340175628662109,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-64/seed1
concat,5e-4,128,32,4,0.541266918182373,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-128/seed1
concat,5e-4,256,32,8,0.5528824329376221,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-256/seed1
concat,2e-3,64,16,4,0.5706132054328918,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,128,32,4,0.5798119902610779,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-128/seed1
concat,2e-3,256,32,8,0.771766185760498,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-256/seed1
concat,1e-4,256,32,8,0.938167929649353,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-256/seed1
learned,1e-4,64,16,4,0.47716468572616577,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-64/seed1
learned,5e-4,64,16,4,0.5015219449996948,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-64/seed1
learned,1e-4,256,32,8,0.502736508846283,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-256/seed1
learned,1e-4,128,32,4,0.5152768492698669,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-128/seed1
learned,2e-3,256,32,8,0.5215696692466736,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-256/seed1
learned,2e-3,128,32,4,0.5217743515968323,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-128/seed1
learned,5e-4,128,32,4,0.5238313674926758,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-128/seed1
learned,2e-3,64,16,4,0.5675988793373108,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-64/seed1
learned,5e-4,256,32,8,0.7262007594108582,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-256/seed1
replace,5e-4,64,16,4,0.5299340486526489,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-64/seed1
replace,5e-4,128,32,4,0.5322960019111633,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-128/seed1
replace,1e-4,64,16,4,0.533877432346344,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-64/seed1
replace,1e-4,128,32,4,0.5371173620223999,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-128/seed1
replace,2e-3,64,16,4,0.5551764369010925,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,128,32,4,0.5638587474822998,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-128/seed1
replace,1e-4,256,32,8,0.6768715381622314,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-256/seed1
replace,5e-4,256,32,8,0.6878386735916138,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-256/seed1
replace,2e-3,256,32,8,0.7007045745849609,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-256/seed1
