dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,1e-4,128,32,4,0.7520055770874023,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-128/seed1
concat,5e-4,64,16,4,0.7535908222198486,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-64/seed1
concat,5e-4,128,32,4,0.755141019821167,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-128/seed1
concat,1e-4,64,16,4,0.7561590075492859,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-64/seed1
concat,1e-4,256,32,8,0.7562336921691895,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-256/seed1
concat,2e-3,64,16,4,0.7596279978752136,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,256,32,8,0.7729597091674805,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-256/seed1
concat,5e-4,256,32,8,0.7761271595954895,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-256/seed1
concat,2e-3,128,32,4,0.8766818046569824,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-128/seed1
learned,1e-4,256,32,8,0.7530149817466736,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-256/seed1
learned,1e-4,64,16,4,0.7537546157836914,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-64/seed1
learned,1e-4,128,32,4,0.7539299130439758,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-128/seed1
learned,2e-3,64,16,4,0.7541437745094299,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-64/seed1
learned,5e-4,64,16,4,0.7580533623695374,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-64/seed1
learned,5e-4,128,32,4,0.7594762444496155,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-128/seed1
learned,5e-4,256,32,8,0.7613573670387268,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-256/seed1
learned,2e-3,256,32,8,0.7704877853393555,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-256/seed1
learned,2e-3,128,32,4,0.7706947326660156,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-128/seed1
replace,1e-4,64,16,4,0.7573134899139404,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-64/seed1
replace,5e-4,64,16,4,0.7592954635620117,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-64/seed1
replace,2e-3,256,32,8,0.7610957622528076,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-256/seed1
replace,2e-3,64,16,4,0.7646004557609558,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-64/seed1
replace,1e-4,128,32,4,0.7653512954711914,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-128/seed1
replace,1e-4,256,32,8,0.7659809589385986,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-256/seed1
replace,5e-4,128,32,4,0.7732852697372437,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-128/seed1
replace,2e-3,128,32,4,0.782017707824707,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-128/seed1
replace,5e-4,256,32,8,0.8650243878364563,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-256/seed1
