dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,5e-4,8,8,1,0.998090386390686,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-5e-4_ebs-8/seed1
concat,2e-3,16,16,1,0.9981904625892639,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-2e-3_ebs-16/seed1
concat,5e-4,16,16,1,0.9996597170829773,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-5e-4_ebs-16/seed1
concat,2e-3,8,8,1,0.9999415874481201,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-2e-3_ebs-8/seed1
concat,1e-4,8,8,1,1.0163501501083374,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-1e-4_ebs-8/seed1
concat,5e-4,32,32,1,1.0298807621002197,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-5e-4_ebs-32/seed1
concat,1e-4,16,16,1,1.0336904525756836,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-1e-4_ebs-16/seed1
concat,2e-3,32,32,1,1.0483343601226807,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-2e-3_ebs-32/seed1
concat,1e-4,32,32,1,1.066749930381775,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/concat/lr-1e-4_ebs-32/seed1
learned,2e-3,16,16,1,1.0044374465942383,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-2e-3_ebs-16/seed1
learned,5e-4,8,8,1,1.0056928396224976,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-5e-4_ebs-8/seed1
learned,2e-3,8,8,1,1.0092107057571411,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-2e-3_ebs-8/seed1
learned,1e-4,8,8,1,1.0371925830841064,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-1e-4_ebs-8/seed1
learned,5e-4,16,16,1,1.038977861404419,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-5e-4_ebs-16/seed1
learned,1e-4,16,16,1,1.0400625467300415,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-1e-4_ebs-16/seed1
learned,2e-3,32,32,1,1.0418622493743896,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-2e-3_ebs-32/seed1
learned,1e-4,32,32,1,1.0420390367507935,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-1e-4_ebs-32/seed1
learned,5e-4,32,32,1,1.0423458814620972,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/learned/lr-5e-4_ebs-32/seed1
replace,2e-3,16,16,1,0.9981380105018616,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-2e-3_ebs-16/seed1
replace,5e-4,16,16,1,1.0075570344924927,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-5e-4_ebs-16/seed1
replace,2e-3,8,8,1,1.0096884965896606,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-2e-3_ebs-8/seed1
replace,5e-4,8,8,1,1.0130174160003662,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-5e-4_ebs-8/seed1
replace,1e-4,8,8,1,1.0381759405136108,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-1e-4_ebs-8/seed1
replace,1e-4,16,16,1,1.0407629013061523,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-1e-4_ebs-16/seed1
replace,5e-4,32,32,1,1.044304370880127,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-5e-4_ebs-32/seed1
replace,1e-4,32,32,1,1.0481539964675903,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-1e-4_ebs-32/seed1
replace,2e-3,32,32,1,1.049690842628479,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_cesnet/replace/lr-2e-3_ebs-32/seed1
