dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,2e-3,128,32,4,0.629721999168396,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-2e-3_ebs-128/seed1
concat,2e-3,32,32,1,0.6298152804374695,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-2e-3_ebs-32/seed1
concat,5e-4,128,32,4,0.6335095167160034,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-5e-4_ebs-128/seed1
concat,5e-4,32,32,1,0.6340116858482361,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-5e-4_ebs-32/seed1
concat,5e-4,64,16,4,0.6352335810661316,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-5e-4_ebs-64/seed1
concat,1e-4,32,32,1,0.6355793476104736,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-1e-4_ebs-32/seed1
concat,2e-3,64,16,4,0.6360082626342773,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-2e-3_ebs-64/seed1
concat,1e-4,64,16,4,0.6386753916740417,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-1e-4_ebs-64/seed1
concat,1e-4,128,32,4,0.6393660306930542,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/concat/lr-1e-4_ebs-128/seed1
learned,2e-3,128,32,4,0.6159889101982117,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-2e-3_ebs-128/seed1
learned,5e-4,128,32,4,0.6170823574066162,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-5e-4_ebs-128/seed1
learned,2e-3,32,32,1,0.6177224516868591,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-2e-3_ebs-32/seed1
learned,5e-4,32,32,1,0.6220529675483704,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-5e-4_ebs-32/seed1
learned,5e-4,64,16,4,0.6245425939559937,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-5e-4_ebs-64/seed1
learned,1e-4,32,32,1,0.625400185585022,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-1e-4_ebs-32/seed1
learned,1e-4,64,16,4,0.6276689767837524,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-1e-4_ebs-64/seed1
learned,2e-3,64,16,4,0.6316375732421875,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-2e-3_ebs-64/seed1
learned,1e-4,128,32,4,0.632784903049469,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/learned/lr-1e-4_ebs-128/seed1
replace,5e-4,64,16,4,0.6277956962585449,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-5e-4_ebs-64/seed1
replace,5e-4,128,32,4,0.6365907788276672,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-5e-4_ebs-128/seed1
replace,5e-4,32,32,1,0.638497531414032,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-5e-4_ebs-32/seed1
replace,2e-3,128,32,4,0.6396442651748657,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-2e-3_ebs-128/seed1
replace,1e-4,128,32,4,0.6403883099555969,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-1e-4_ebs-128/seed1
replace,1e-4,32,32,1,0.6407486200332642,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-1e-4_ebs-32/seed1
replace,2e-3,64,16,4,0.6424221992492676,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-2e-3_ebs-64/seed1
replace,1e-4,64,16,4,0.6464033126831055,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-1e-4_ebs-64/seed1
replace,2e-3,32,32,1,0.6596711277961731,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_clustertrace/replace/lr-2e-3_ebs-32/seed1
