dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,2e-3,32,32,1,0.30604106187820435,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-2e-3_ebs-32/seed1
concat,5e-4,32,32,1,0.3088599741458893,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-5e-4_ebs-32/seed1
concat,2e-3,64,16,4,0.9947945475578308,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,128,32,4,1.343632698059082,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-2e-3_ebs-128/seed1
concat,5e-4,128,32,4,1.4396899938583374,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-5e-4_ebs-128/seed1
concat,5e-4,64,16,4,1.5361295938491821,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-5e-4_ebs-64/seed1
concat,1e-4,64,16,4,1.567310094833374,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-1e-4_ebs-64/seed1
concat,1e-4,128,32,4,1.6347566843032837,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-1e-4_ebs-128/seed1
concat,1e-4,32,32,1,1.6777163743972778,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/concat/lr-1e-4_ebs-32/seed1
learned,1e-4,128,32,4,0.5135208964347839,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-1e-4_ebs-128/seed1
learned,1e-4,64,16,4,0.5135229229927063,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-1e-4_ebs-64/seed1
learned,5e-4,32,32,1,0.513655424118042,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-5e-4_ebs-32/seed1
learned,5e-4,64,16,4,0.5136595964431763,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-5e-4_ebs-64/seed1
learned,5e-4,128,32,4,0.5136632323265076,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-5e-4_ebs-128/seed1
learned,2e-3,64,16,4,0.5142203569412231,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-2e-3_ebs-64/seed1
learned,2e-3,128,32,4,0.5142216682434082,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-2e-3_ebs-128/seed1
learned,1e-4,32,32,1,0.5184956789016724,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-1e-4_ebs-32/seed1
learned,2e-3,32,32,1,0.6333568096160889,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/learned/lr-2e-3_ebs-32/seed1
replace,1e-4,64,16,4,0.5137642621994019,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-1e-4_ebs-64/seed1
replace,1e-4,128,32,4,0.5137656331062317,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-1e-4_ebs-128/seed1
replace,5e-4,32,32,1,0.5138931274414062,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-5e-4_ebs-32/seed1
replace,5e-4,64,16,4,0.5139023065567017,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-5e-4_ebs-64/seed1
replace,5e-4,128,32,4,0.5139070153236389,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-5e-4_ebs-128/seed1
replace,2e-3,64,16,4,0.5145184993743896,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,128,32,4,0.5145214200019836,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-2e-3_ebs-128/seed1
replace,1e-4,32,32,1,0.5187928080558777,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-1e-4_ebs-32/seed1
replace,2e-3,32,32,1,0.6334380507469177,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_epa_air/replace/lr-2e-3_ebs-32/seed1
