dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,5e-4,64,16,4,0.18977011740207672,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-5e-4_ebs-64/seed1
concat,5e-4,128,32,4,0.19010810554027557,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-5e-4_ebs-128/seed1
concat,2e-3,64,16,4,0.1902577430009842,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,256,32,8,0.1904280036687851,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-2e-3_ebs-256/seed1
concat,1e-4,128,32,4,0.1928534358739853,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-1e-4_ebs-128/seed1
concat,1e-4,256,32,8,0.19290609657764435,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-1e-4_ebs-256/seed1
concat,5e-4,256,32,8,0.19324395060539246,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-5e-4_ebs-256/seed1
concat,1e-4,64,16,4,0.19551806151866913,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-1e-4_ebs-64/seed1
concat,2e-3,128,32,4,0.19641517102718353,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/concat/lr-2e-3_ebs-128/seed1
learned,5e-4,128,32,4,0.19108127057552338,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-5e-4_ebs-128/seed1
learned,5e-4,64,16,4,0.19119851291179657,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-5e-4_ebs-64/seed1
learned,2e-3,64,16,4,0.19208644330501556,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-2e-3_ebs-64/seed1
learned,2e-3,128,32,4,0.19297266006469727,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-2e-3_ebs-128/seed1
learned,1e-4,64,16,4,0.19427885115146637,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-1e-4_ebs-64/seed1
learned,2e-3,256,32,8,0.19449469447135925,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-2e-3_ebs-256/seed1
learned,1e-4,256,32,8,0.8357363939285278,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-1e-4_ebs-256/seed1
learned,1e-4,128,32,4,0.8439650535583496,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-1e-4_ebs-128/seed1
learned,5e-4,256,32,8,0.8447760343551636,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/learned/lr-5e-4_ebs-256/seed1
replace,5e-4,64,16,4,0.18321192264556885,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-5e-4_ebs-64/seed1
replace,2e-3,64,16,4,0.18488803505897522,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,256,32,8,0.1862858384847641,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-2e-3_ebs-256/seed1
replace,2e-3,128,32,4,0.19135400652885437,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-2e-3_ebs-128/seed1
replace,5e-4,128,32,4,0.19162970781326294,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-5e-4_ebs-128/seed1
replace,1e-4,64,16,4,0.19531244039535522,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-1e-4_ebs-64/seed1
replace,1e-4,256,32,8,0.8347876667976379,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-1e-4_ebs-256/seed1
replace,1e-4,128,32,4,0.8429127335548401,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-1e-4_ebs-128/seed1
replace,5e-4,256,32,8,0.8437153697013855,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_fnspid/replace/lr-5e-4_ebs-256/seed1
