dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,2e-3,128,32,4,0.9858772158622742,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-2e-3_ebs-128/seed1
concat,2e-3,64,16,4,0.985966682434082,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,256,32,8,0.9865688681602478,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-2e-3_ebs-256/seed1
concat,5e-4,64,16,4,0.9874240159988403,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-5e-4_ebs-64/seed1
concat,5e-4,128,32,4,0.9878093600273132,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-5e-4_ebs-128/seed1
concat,5e-4,256,32,8,0.989227294921875,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-5e-4_ebs-256/seed1
concat,1e-4,64,16,4,0.9899262189865112,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-1e-4_ebs-64/seed1
concat,1e-4,128,32,4,0.9907630681991577,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-1e-4_ebs-128/seed1
concat,1e-4,256,32,8,0.9933783411979675,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/concat/lr-1e-4_ebs-256/seed1
learned,2e-3,64,16,4,0.9841999411582947,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-2e-3_ebs-64/seed1
learned,2e-3,128,32,4,0.9851187467575073,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-2e-3_ebs-128/seed1
learned,2e-3,256,32,8,0.9854835271835327,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-2e-3_ebs-256/seed1
learned,5e-4,64,16,4,0.9864925146102905,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-5e-4_ebs-64/seed1
learned,5e-4,128,32,4,0.9867271780967712,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-5e-4_ebs-128/seed1
learned,5e-4,256,32,8,0.9877642393112183,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-5e-4_ebs-256/seed1
learned,1e-4,64,16,4,0.9879698753356934,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-1e-4_ebs-64/seed1
learned,1e-4,128,32,4,0.9916685819625854,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-1e-4_ebs-128/seed1
learned,1e-4,256,32,8,0.9937635660171509,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/learned/lr-1e-4_ebs-256/seed1
replace,2e-3,128,32,4,0.985969603061676,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-2e-3_ebs-128/seed1
replace,2e-3,64,16,4,0.9863954186439514,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,256,32,8,0.9866836667060852,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-2e-3_ebs-256/seed1
replace,5e-4,64,16,4,0.9873809814453125,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-5e-4_ebs-64/seed1
replace,5e-4,128,32,4,0.9884398579597473,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-5e-4_ebs-128/seed1
replace,5e-4,256,32,8,0.9897572994232178,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-5e-4_ebs-256/seed1
replace,1e-4,64,16,4,0.9901918768882751,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-1e-4_ebs-64/seed1
replace,1e-4,128,32,4,0.9927647113800049,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-1e-4_ebs-128/seed1
replace,1e-4,256,32,8,0.9949589967727661,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_gdelt/replace/lr-1e-4_ebs-256/seed1
