dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,2e-3,32,32,1,0.21720993518829346,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-2e-3_ebs-32/seed1
concat,2e-3,8,8,1,0.22091643512248993,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-2e-3_ebs-8/seed1
concat,2e-3,16,16,1,0.22662699222564697,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-2e-3_ebs-16/seed1
concat,5e-4,16,16,1,0.2700023055076599,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-5e-4_ebs-16/seed1
concat,5e-4,8,8,1,0.29258131980895996,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-5e-4_ebs-8/seed1
concat,1e-4,8,8,1,0.4187670052051544,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-1e-4_ebs-8/seed1
concat,1e-4,32,32,1,0.4734744429588318,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-1e-4_ebs-32/seed1
concat,1e-4,16,16,1,0.47347673773765564,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-1e-4_ebs-16/seed1
concat,5e-4,32,32,1,0.47404271364212036,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/concat/lr-5e-4_ebs-32/seed1
learned,2e-3,8,8,1,0.22329141199588776,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-2e-3_ebs-8/seed1
learned,2e-3,16,16,1,0.25641098618507385,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-2e-3_ebs-16/seed1
learned,5e-4,8,8,1,0.2660467028617859,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-5e-4_ebs-8/seed1
learned,2e-3,32,32,1,0.28201696276664734,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-2e-3_ebs-32/seed1
learned,1e-4,8,8,1,0.3364419937133789,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-1e-4_ebs-8/seed1
learned,5e-4,16,16,1,0.4016847312450409,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-5e-4_ebs-16/seed1
learned,1e-4,16,16,1,0.4208438992500305,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-1e-4_ebs-16/seed1
learned,5e-4,32,32,1,0.4580989480018616,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-5e-4_ebs-32/seed1
learned,1e-4,32,32,1,0.47251027822494507,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/learned/lr-1e-4_ebs-32/seed1
replace,5e-4,16,16,1,0.2025400698184967,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-5e-4_ebs-16/seed1
replace,2e-3,16,16,1,0.2406826913356781,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-2e-3_ebs-16/seed1
replace,2e-3,8,8,1,0.24110524356365204,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-2e-3_ebs-8/seed1
replace,5e-4,8,8,1,0.40091511607170105,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-5e-4_ebs-8/seed1
replace,1e-4,8,8,1,0.40736302733421326,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-1e-4_ebs-8/seed1
replace,2e-3,32,32,1,0.4079599678516388,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-2e-3_ebs-32/seed1
replace,1e-4,16,16,1,0.4194587767124176,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-1e-4_ebs-16/seed1
replace,5e-4,32,32,1,0.45806026458740234,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-5e-4_ebs-32/seed1
replace,1e-4,32,32,1,0.47231242060661316,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_ilinet/replace/lr-1e-4_ebs-32/seed1
