dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,2e-3,128,32,4,0.4893944561481476,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-2e-3_ebs-128/seed1
concat,5e-4,64,16,4,0.49469640851020813,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-5e-4_ebs-64/seed1
concat,5e-4,128,32,4,0.5106146335601807,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-5e-4_ebs-128/seed1
concat,2e-3,64,16,4,0.5206043720245361,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-2e-3_ebs-64/seed1
concat,1e-4,64,16,4,0.5388606786727905,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-1e-4_ebs-64/seed1
concat,2e-3,256,32,8,0.6813437938690186,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-2e-3_ebs-256/seed1
concat,1e-4,128,32,4,0.6824517250061035,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-1e-4_ebs-128/seed1
concat,5e-4,256,32,8,0.700768768787384,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-5e-4_ebs-256/seed1
concat,1e-4,256,32,8,1.1243903636932373,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/concat/lr-1e-4_ebs-256/seed1
learned,2e-3,128,32,4,0.4608343243598938,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-2e-3_ebs-128/seed1
learned,5e-4,128,32,4,0.4775286316871643,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-5e-4_ebs-128/seed1
learned,5e-4,64,16,4,0.4793047308921814,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-5e-4_ebs-64/seed1
learned,2e-3,64,16,4,0.4891357421875,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-2e-3_ebs-64/seed1
learned,2e-3,256,32,8,0.6614288091659546,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-2e-3_ebs-256/seed1
learned,5e-4,256,32,8,0.6670745611190796,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-5e-4_ebs-256/seed1
learned,1e-4,128,32,4,0.6714077591896057,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-1e-4_ebs-128/seed1
learned,1e-4,64,16,4,0.6743882298469543,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-1e-4_ebs-64/seed1
learned,1e-4,256,32,8,0.6881961226463318,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/learned/lr-1e-4_ebs-256/seed1
replace,5e-4,128,32,4,0.5633325576782227,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-5e-4_ebs-128/seed1
replace,2e-3,64,16,4,0.5694093108177185,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,128,32,4,0.573139488697052,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-2e-3_ebs-128/seed1
replace,5e-4,64,16,4,0.5749536752700806,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-5e-4_ebs-64/seed1
replace,2e-3,256,32,8,0.587335467338562,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-2e-3_ebs-256/seed1
replace,1e-4,128,32,4,0.7594074010848999,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-1e-4_ebs-128/seed1
replace,1e-4,64,16,4,0.7729962468147278,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-1e-4_ebs-64/seed1
replace,5e-4,256,32,8,0.7781100273132324,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-5e-4_ebs-256/seed1
replace,1e-4,256,32,8,0.788084864616394,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_repohealth/replace/lr-1e-4_ebs-256/seed1
