dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,2e-3,128,32,4,0.7495285868644714,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-2e-3_ebs-128/seed1
concat,5e-4,64,16,4,0.7502930164337158,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-5e-4_ebs-64/seed1
concat,1e-4,128,32,4,0.7530131936073303,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-1e-4_ebs-128/seed1
concat,2e-3,64,16,4,0.7530580163002014,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-2e-3_ebs-64/seed1
concat,1e-4,256,32,8,0.7532103657722473,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-1e-4_ebs-256/seed1
concat,1e-4,64,16,4,0.753377377986908,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-1e-4_ebs-64/seed1
concat,5e-4,256,32,8,0.7547162771224976,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-5e-4_ebs-256/seed1
concat,5e-4,128,32,4,0.755081832408905,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-5e-4_ebs-128/seed1
concat,2e-3,256,32,8,0.7561845779418945,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/concat/lr-2e-3_ebs-256/seed1
learned,2e-3,256,32,8,0.751123309135437,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-2e-3_ebs-256/seed1
learned,5e-4,64,16,4,0.7518167495727539,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-5e-4_ebs-64/seed1
learned,2e-3,64,16,4,0.7520888447761536,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-2e-3_ebs-64/seed1
learned,1e-4,64,16,4,0.7524377703666687,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-1e-4_ebs-64/seed1
learned,1e-4,128,32,4,0.7525878548622131,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-1e-4_ebs-128/seed1
learned,1e-4,256,32,8,0.7526748180389404,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-1e-4_ebs-256/seed1
learned,5e-4,128,32,4,0.7538821697235107,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-5e-4_ebs-128/seed1
learned,5e-4,256,32,8,0.755018949508667,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-5e-4_ebs-256/seed1
learned,2e-3,128,32,4,0.755371630191803,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/learned/lr-2e-3_ebs-128/seed1
replace,2e-3,128,32,4,0.7517004013061523,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-2e-3_ebs-128/seed1
replace,1e-4,64,16,4,0.753066897392273,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-1e-4_ebs-64/seed1
replace,5e-4,64,16,4,0.7541426420211792,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-5e-4_ebs-64/seed1
replace,5e-4,128,32,4,0.7542628049850464,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-5e-4_ebs-128/seed1
replace,1e-4,128,32,4,0.7549297213554382,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-1e-4_ebs-128/seed1
replace,2e-3,64,16,4,0.7554483413696289,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-2e-3_ebs-64/seed1
replace,1e-4,256,32,8,0.756647527217865,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-1e-4_ebs-256/seed1
replace,2e-3,256,32,8,0.7709589004516602,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-2e-3_ebs-256/seed1
replace,5e-4,256,32,8,0.771831750869751,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm_d64/imm_studentlife/replace/lr-5e-4_ebs-256/seed1
