dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_gdelt,learned,1e-4,64,16,4,1,0,73,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-64/seed1
imm_gdelt,learned,1e-4,128,32,4,2,0,69,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-128/seed1
imm_gdelt,learned,1e-4,256,32,8,3,0,89,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-1e-4_ebs-256/seed1
imm_gdelt,learned,5e-4,64,16,4,4,0,97,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-5e-4_ebs-64/seed1
imm_gdelt,learned,5e-4,128,32,4,5,0,61,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-5e-4_ebs-128/seed1
imm_gdelt,learned,5e-4,256,32,8,6,0,91,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-5e-4_ebs-256/seed1
imm_gdelt,learned,2e-3,64,16,4,7,0,57,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-2e-3_ebs-64/seed1
imm_gdelt,learned,2e-3,128,32,4,8,0,56,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-2e-3_ebs-128/seed1
imm_gdelt,learned,2e-3,256,32,8,9,0,73,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_gdelt/learned/lr-2e-3_ebs-256/seed1
imm_repohealth,learned,1e-4,64,16,4,1,0,118,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-64/seed1
imm_repohealth,learned,1e-4,128,32,4,2,0,54,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-128/seed1
imm_repohealth,learned,1e-4,256,32,8,3,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-256/seed1
imm_repohealth,learned,5e-4,64,16,4,4,0,64,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-64/seed1
imm_repohealth,learned,5e-4,128,32,4,5,0,96,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-128/seed1
imm_repohealth,learned,5e-4,256,32,8,6,0,61,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-256/seed1
imm_repohealth,learned,2e-3,64,16,4,7,0,59,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-64/seed1
imm_repohealth,learned,2e-3,128,32,4,8,0,84,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-128/seed1
imm_repohealth,learned,2e-3,256,32,8,9,0,56,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-256/seed1
imm_fnspid,learned,1e-4,64,16,4,1,0,151,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-64/seed1
imm_fnspid,learned,1e-4,128,32,4,2,0,228,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-128/seed1
imm_fnspid,learned,1e-4,256,32,8,3,0,172,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-256/seed1
imm_fnspid,learned,5e-4,64,16,4,4,0,165,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-64/seed1
