dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,5e-4,16,16,1,1.0209851264953613,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-5e-4_ebs-16/seed1
concat,2e-3,8,8,1,1.026313066482544,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-2e-3_ebs-8/seed1
concat,1e-4,8,8,1,1.0317811965942383,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-1e-4_ebs-8/seed1
concat,1e-4,32,32,1,1.0808289051055908,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-1e-4_ebs-32/seed1
concat,1e-4,16,16,1,1.08136785030365,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-1e-4_ebs-16/seed1
concat,5e-4,32,32,1,1.0860190391540527,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-5e-4_ebs-32/seed1
concat,2e-3,32,32,1,1.0931580066680908,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-2e-3_ebs-32/seed1
concat,2e-3,16,16,1,1.0989493131637573,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-2e-3_ebs-16/seed1
concat,5e-4,8,8,1,1.1057456731796265,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/concat/lr-5e-4_ebs-8/seed1
learned,1e-4,8,8,1,1.0272574424743652,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-8/seed1
learned,2e-3,8,8,1,1.0324410200119019,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-8/seed1
learned,5e-4,8,8,1,1.0409315824508667,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-8/seed1
learned,1e-4,32,32,1,1.0863020420074463,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-32/seed1
learned,1e-4,16,16,1,1.0889308452606201,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-1e-4_ebs-16/seed1
learned,5e-4,32,32,1,1.0900325775146484,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-32/seed1
learned,5e-4,16,16,1,1.0937775373458862,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-5e-4_ebs-16/seed1
learned,2e-3,32,32,1,1.1049619913101196,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-32/seed1
learned,2e-3,16,16,1,1.1243934631347656,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/learned/lr-2e-3_ebs-16/seed1
replace,1e-4,8,8,1,1.0207080841064453,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-1e-4_ebs-8/seed1
replace,1e-4,32,32,1,1.0692099332809448,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-1e-4_ebs-32/seed1
replace,1e-4,16,16,1,1.0889899730682373,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-1e-4_ebs-16/seed1
replace,5e-4,32,32,1,1.0900020599365234,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-5e-4_ebs-32/seed1
replace,5e-4,16,16,1,1.0942327976226807,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-5e-4_ebs-16/seed1
replace,5e-4,8,8,1,1.1016639471054077,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-5e-4_ebs-8/seed1
replace,2e-3,32,32,1,1.1048657894134521,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-2e-3_ebs-32/seed1
replace,2e-3,16,16,1,1.123708724975586,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-2e-3_ebs-16/seed1
replace,2e-3,8,8,1,1.1362859010696411,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_cesnet/replace/lr-2e-3_ebs-8/seed1
