dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,1e-4,32,32,1,0.6934489607810974,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-32/seed1
concat,5e-4,32,32,1,0.700421929359436,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-32/seed1
concat,2e-3,32,32,1,0.7147502303123474,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-32/seed1
concat,2e-3,128,32,4,0.7185719013214111,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-128/seed1
concat,1e-4,128,32,4,0.7252022624015808,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-128/seed1
concat,1e-4,64,16,4,0.7273257970809937,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-64/seed1
concat,5e-4,128,32,4,0.7425817251205444,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-128/seed1
concat,2e-3,64,16,4,0.7830250263214111,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-64/seed1
concat,5e-4,64,16,4,0.8087853789329529,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-64/seed1
learned,5e-4,32,32,1,0.6920130252838135,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-32/seed1
learned,1e-4,32,32,1,0.6977053880691528,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-32/seed1
learned,1e-4,64,16,4,0.7138684391975403,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-64/seed1
learned,5e-4,64,16,4,0.717266321182251,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-64/seed1
learned,5e-4,128,32,4,0.7368909120559692,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-128/seed1
learned,2e-3,64,16,4,0.7527872920036316,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-64/seed1
learned,2e-3,32,32,1,0.7739734649658203,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-32/seed1
learned,2e-3,128,32,4,0.8002381324768066,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-128/seed1
learned,1e-4,128,32,4,0.831496000289917,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-128/seed1
replace,5e-4,64,16,4,0.751756489276886,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-64/seed1
replace,2e-3,32,32,1,0.762029230594635,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-32/seed1
replace,1e-4,64,16,4,0.7801072001457214,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-64/seed1
replace,5e-4,32,32,1,0.7907668352127075,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-32/seed1
replace,2e-3,64,16,4,0.8014925718307495,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,128,32,4,0.8168920874595642,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-128/seed1
replace,5e-4,128,32,4,0.8224905133247375,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-128/seed1
replace,1e-4,128,32,4,0.8241217136383057,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-128/seed1
replace,1e-4,32,32,1,0.8307907581329346,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-32/seed1
