dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,2e-3,32,32,1,0.32293808460235596,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-2e-3_ebs-32/seed1
concat,2e-3,64,16,4,0.3537915050983429,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-2e-3_ebs-64/seed1
concat,1e-4,32,32,1,0.3987416625022888,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-1e-4_ebs-32/seed1
concat,5e-4,32,32,1,0.4302994906902313,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-5e-4_ebs-32/seed1
concat,5e-4,64,16,4,0.441681832075119,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-5e-4_ebs-64/seed1
concat,2e-3,128,32,4,0.6422304511070251,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-2e-3_ebs-128/seed1
concat,1e-4,128,32,4,0.9358704686164856,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-1e-4_ebs-128/seed1
concat,5e-4,128,32,4,0.9358704686164856,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-5e-4_ebs-128/seed1
concat,1e-4,64,16,4,0.9922964572906494,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/concat/lr-1e-4_ebs-64/seed1
learned,2e-3,32,32,1,0.3252861499786377,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-32/seed1
learned,1e-4,32,32,1,0.3792237639427185,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-32/seed1
learned,2e-3,64,16,4,0.43456408381462097,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-64/seed1
learned,5e-4,128,32,4,0.4403430223464966,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-128/seed1
learned,5e-4,32,32,1,0.4465521275997162,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-32/seed1
learned,2e-3,128,32,4,0.6007941961288452,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-2e-3_ebs-128/seed1
learned,5e-4,64,16,4,0.7901692390441895,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-5e-4_ebs-64/seed1
learned,1e-4,128,32,4,0.8685972690582275,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-128/seed1
learned,1e-4,64,16,4,0.9158712029457092,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/learned/lr-1e-4_ebs-64/seed1
replace,5e-4,64,16,4,0.40265098214149475,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-5e-4_ebs-64/seed1
replace,1e-4,32,32,1,0.4088459014892578,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-1e-4_ebs-32/seed1
replace,2e-3,32,32,1,0.44708698987960815,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-2e-3_ebs-32/seed1
replace,2e-3,64,16,4,0.44936978816986084,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-2e-3_ebs-64/seed1
replace,5e-4,32,32,1,0.48887890577316284,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-5e-4_ebs-32/seed1
replace,2e-3,128,32,4,0.5968319773674011,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-2e-3_ebs-128/seed1
replace,5e-4,128,32,4,0.7848202586174011,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-5e-4_ebs-128/seed1
replace,1e-4,128,32,4,0.8737998604774475,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-1e-4_ebs-128/seed1
replace,1e-4,64,16,4,0.9220728874206543,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_epa_air/replace/lr-1e-4_ebs-64/seed1
