dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,5e-4,64,16,4,0.18887488543987274,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-64/seed1
concat,1e-4,64,16,4,0.19461612403392792,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-64/seed1
concat,5e-4,128,32,4,0.1951637715101242,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-128/seed1
concat,2e-3,64,16,4,0.1974383145570755,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,128,32,4,0.2034555971622467,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-128/seed1
concat,1e-4,256,32,8,0.2044021487236023,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-256/seed1
concat,1e-4,128,32,4,0.20759934186935425,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-1e-4_ebs-128/seed1
concat,2e-3,256,32,8,0.22101056575775146,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-256/seed1
concat,5e-4,256,32,8,0.22426030039787292,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-5e-4_ebs-256/seed1
learned,5e-4,64,16,4,0.19430476427078247,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-64/seed1
learned,1e-4,64,16,4,0.19526615738868713,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-64/seed1
learned,5e-4,128,32,4,0.19534726440906525,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-128/seed1
learned,1e-4,128,32,4,0.19544526934623718,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-128/seed1
learned,2e-3,64,16,4,0.19995208084583282,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-64/seed1
learned,1e-4,256,32,8,0.20755290985107422,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-1e-4_ebs-256/seed1
learned,5e-4,256,32,8,0.21452851593494415,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-5e-4_ebs-256/seed1
learned,2e-3,256,32,8,0.22648608684539795,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-256/seed1
learned,2e-3,128,32,4,0.2621276080608368,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/learned/lr-2e-3_ebs-128/seed1
replace,2e-3,64,16,4,0.19341447949409485,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-64/seed1
replace,5e-4,64,16,4,0.19369640946388245,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-64/seed1
replace,1e-4,64,16,4,0.19498389959335327,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-64/seed1
replace,1e-4,128,32,4,0.19685809314250946,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-128/seed1
replace,5e-4,128,32,4,0.19892533123493195,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-128/seed1
replace,2e-3,128,32,4,0.1990540623664856,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-128/seed1
replace,1e-4,256,32,8,0.2027776837348938,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-1e-4_ebs-256/seed1
replace,2e-3,256,32,8,0.23862965404987335,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-2e-3_ebs-256/seed1
replace,5e-4,256,32,8,0.2433130145072937,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/replace/lr-5e-4_ebs-256/seed1
