dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,5e-4,8,8,1,0.2458498179912567,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-5e-4_ebs-8/seed1
concat,2e-3,32,32,1,0.2836138606071472,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-2e-3_ebs-32/seed1
concat,2e-3,16,16,1,0.30517131090164185,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-2e-3_ebs-16/seed1
concat,1e-4,8,8,1,0.34512680768966675,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-1e-4_ebs-8/seed1
concat,2e-3,8,8,1,0.4349609315395355,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-2e-3_ebs-8/seed1
concat,5e-4,16,16,1,0.4568506181240082,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-5e-4_ebs-16/seed1
concat,5e-4,32,32,1,0.4710792601108551,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-5e-4_ebs-32/seed1
concat,1e-4,16,16,1,0.49624770879745483,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-1e-4_ebs-16/seed1
concat,1e-4,32,32,1,0.4992057979106903,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/concat/lr-1e-4_ebs-32/seed1
learned,5e-4,8,8,1,0.2324603796005249,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-8/seed1
learned,2e-3,32,32,1,0.23580476641654968,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-32/seed1
learned,5e-4,16,16,1,0.24438609182834625,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-16/seed1
learned,5e-4,32,32,1,0.2506643235683441,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-32/seed1
learned,1e-4,8,8,1,0.3043804466724396,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-8/seed1
learned,1e-4,16,16,1,0.30463260412216187,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-16/seed1
learned,2e-3,16,16,1,0.30942288041114807,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-16/seed1
learned,2e-3,8,8,1,0.3813658058643341,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-2e-3_ebs-8/seed1
learned,1e-4,32,32,1,0.40516215562820435,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-32/seed1
replace,2e-3,8,8,1,0.23583129048347473,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-8/seed1
replace,1e-4,8,8,1,0.24018386006355286,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-8/seed1
replace,5e-4,8,8,1,0.260998398065567,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-8/seed1
replace,5e-4,16,16,1,0.3491762578487396,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-16/seed1
replace,1e-4,16,16,1,0.4432961642742157,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-16/seed1
replace,2e-3,32,32,1,0.45811519026756287,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-32/seed1
replace,1e-4,32,32,1,0.4636431634426117,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-32/seed1
replace,2e-3,16,16,1,0.4665176272392273,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-16/seed1
replace,5e-4,32,32,1,0.497399240732193,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-32/seed1
