dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,1e-4,64,16,4,0.518240213394165,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-64/seed1
concat,5e-4,64,16,4,0.5207424163818359,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-64/seed1
concat,2e-3,64,16,4,0.576875627040863,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,128,32,4,0.5811840891838074,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-128/seed1
concat,2e-3,256,32,8,0.6006107330322266,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-2e-3_ebs-256/seed1
concat,5e-4,128,32,4,0.6080401539802551,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-128/seed1
concat,1e-4,128,32,4,0.60972660779953,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-128/seed1
concat,5e-4,256,32,8,0.9000322222709656,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-5e-4_ebs-256/seed1
concat,1e-4,256,32,8,1.3329036235809326,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/concat/lr-1e-4_ebs-256/seed1
learned,1e-4,64,16,4,0.504244863986969,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-64/seed1
learned,5e-4,128,32,4,0.5438849329948425,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-128/seed1
learned,5e-4,64,16,4,0.5640734434127808,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-64/seed1
learned,2e-3,128,32,4,0.5744147896766663,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-128/seed1
learned,2e-3,64,16,4,0.6011983156204224,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-64/seed1
learned,2e-3,256,32,8,0.7435413002967834,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-2e-3_ebs-256/seed1
learned,5e-4,256,32,8,0.807776153087616,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-5e-4_ebs-256/seed1
learned,1e-4,128,32,4,0.8847553133964539,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-128/seed1
learned,1e-4,256,32,8,1.185884714126587,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/learned/lr-1e-4_ebs-256/seed1
replace,1e-4,64,16,4,0.5469207763671875,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-64/seed1
replace,5e-4,64,16,4,0.5572294592857361,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-64/seed1
replace,1e-4,128,32,4,0.5602084994316101,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-128/seed1
replace,5e-4,128,32,4,0.5634235143661499,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-128/seed1
replace,2e-3,64,16,4,0.6061069965362549,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-64/seed1
replace,2e-3,128,32,4,0.6297747492790222,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-128/seed1
replace,5e-4,256,32,8,0.764994204044342,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-5e-4_ebs-256/seed1
replace,2e-3,256,32,8,0.7814376354217529,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-2e-3_ebs-256/seed1
replace,1e-4,256,32,8,1.1835639476776123,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_repohealth/replace/lr-1e-4_ebs-256/seed1
