dt_mode,lr,eff_bs,phys_bs,accum,min_val_mse,cell_dir
concat,1e-4,128,32,4,0.7308534979820251,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-128/seed1
concat,1e-4,256,32,8,0.733927309513092,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-256/seed1
concat,1e-4,64,16,4,0.7356570959091187,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-64/seed1
concat,5e-4,64,16,4,0.7377173900604248,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-64/seed1
concat,5e-4,256,32,8,0.7432952523231506,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-256/seed1
concat,5e-4,128,32,4,0.7440055012702942,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-128/seed1
concat,2e-3,64,16,4,0.757644534111023,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-64/seed1
concat,2e-3,256,32,8,0.7670984268188477,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-256/seed1
concat,2e-3,128,32,4,0.7896053791046143,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-128/seed1
learned,1e-4,64,16,4,0.7332808375358582,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-64/seed1
learned,5e-4,64,16,4,0.7355329394340515,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-64/seed1
learned,5e-4,128,32,4,0.7417977452278137,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-128/seed1
learned,1e-4,256,32,8,0.7427944540977478,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-256/seed1
learned,1e-4,128,32,4,0.7458525896072388,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-128/seed1
learned,2e-3,256,32,8,0.746770977973938,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-256/seed1
learned,5e-4,256,32,8,0.7485824227333069,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-256/seed1
learned,2e-3,64,16,4,0.7491505742073059,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-64/seed1
learned,2e-3,128,32,4,0.7564433217048645,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-128/seed1
replace,2e-3,256,32,8,0.7435088157653809,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-256/seed1
replace,1e-4,64,16,4,0.7447959780693054,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-64/seed1
replace,5e-4,64,16,4,0.7515711784362793,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-64/seed1
replace,2e-3,128,32,4,0.7522348761558533,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-128/seed1
replace,5e-4,128,32,4,0.754014253616333,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-128/seed1
replace,2e-3,64,16,4,0.7541542649269104,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-64/seed1
replace,1e-4,256,32,8,0.8069556355476379,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-256/seed1
replace,5e-4,256,32,8,0.8180692791938782,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-256/seed1
replace,1e-4,128,32,4,0.8230748772621155,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-128/seed1
