dt_mode,lr,train_batch_size,seed,regime,exit_code,wall_sec,output_dir
learned,1e-4,64,1,multisin_high_irreg,0,346,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-1e-4_bs-64_seed-1
learned,1e-4,128,1,multisin_high_irreg,0,341,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-1e-4_bs-128_seed-1
learned,1e-4,256,1,multisin_high_irreg,0,345,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-1e-4_bs-256_seed-1
learned,5e-4,64,1,multisin_high_irreg,0,179,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-5e-4_bs-64_seed-1
learned,5e-4,128,1,multisin_high_irreg,0,242,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-5e-4_bs-128_seed-1
learned,5e-4,256,1,multisin_high_irreg,0,340,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-5e-4_bs-256_seed-1
learned,2e-3,64,1,multisin_high_irreg,0,181,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-2e-3_bs-64_seed-1
learned,2e-3,128,1,multisin_high_irreg,0,233,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-2e-3_bs-128_seed-1
learned,2e-3,256,1,multisin_high_irreg,0,297,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-learned_lr-2e-3_bs-256_seed-1
replace,1e-4,64,1,multisin_high_irreg,0,344,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-1e-4_bs-64_seed-1
replace,1e-4,128,1,multisin_high_irreg,0,340,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-1e-4_bs-128_seed-1
replace,1e-4,256,1,multisin_high_irreg,0,338,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-1e-4_bs-256_seed-1
replace,5e-4,64,1,multisin_high_irreg,0,185,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-5e-4_bs-64_seed-1
replace,5e-4,128,1,multisin_high_irreg,0,249,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-5e-4_bs-128_seed-1
replace,5e-4,256,1,multisin_high_irreg,0,341,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-5e-4_bs-256_seed-1
replace,2e-3,64,1,multisin_high_irreg,0,207,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-2e-3_bs-64_seed-1
replace,2e-3,128,1,multisin_high_irreg,0,205,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-2e-3_bs-128_seed-1
replace,2e-3,256,1,multisin_high_irreg,0,309,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-replace_lr-2e-3_bs-256_seed-1
concat,1e-4,64,1,multisin_high_irreg,0,345,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-1e-4_bs-64_seed-1
concat,1e-4,128,1,multisin_high_irreg,0,336,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-1e-4_bs-128_seed-1
concat,1e-4,256,1,multisin_high_irreg,0,340,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-1e-4_bs-256_seed-1
concat,5e-4,64,1,multisin_high_irreg,0,180,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-5e-4_bs-64_seed-1
concat,5e-4,128,1,multisin_high_irreg,0,226,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-5e-4_bs-128_seed-1
concat,5e-4,256,1,multisin_high_irreg,0,333,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-5e-4_bs-256_seed-1
concat,2e-3,64,1,multisin_high_irreg,0,193,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-2e-3_bs-64_seed-1
concat,2e-3,128,1,multisin_high_irreg,0,224,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-2e-3_bs-128_seed-1
concat,2e-3,256,1,multisin_high_irreg,0,308,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_phase2_sync/multisin_high_irreg/dt-concat_lr-2e-3_bs-256_seed-1
