dataset,dt_mode,lr,train_batch_size,seed,min_val_mse,cell_dir
activity,concat,2e-3,64,1,0.0029010914731770754,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-2e-3_bs-64/seed1
activity,concat,5e-4,64,1,0.002992897527292371,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-5e-4_bs-64/seed1
activity,concat,2e-3,128,1,0.0029983511194586754,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-2e-3_bs-128/seed1
activity,concat,5e-4,128,1,0.003011774504557252,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-5e-4_bs-128/seed1
activity,concat,5e-4,256,1,0.0030232518911361694,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-5e-4_bs-256/seed1
activity,concat,1e-4,128,1,0.0030780762899667025,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-1e-4_bs-128/seed1
activity,concat,1e-4,64,1,0.003101323265582323,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-1e-4_bs-64/seed1
activity,concat,2e-3,256,1,0.003219831269234419,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-2e-3_bs-256/seed1
activity,concat,1e-4,256,1,0.004156951326876879,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/activity/dt-concat_lr-1e-4_bs-256/seed1
ushcn,concat,1e-4,256,1,0.6569306254386902,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-1e-4_bs-256/seed1
ushcn,concat,1e-4,128,1,0.6578744649887085,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-1e-4_bs-128/seed1
ushcn,concat,1e-4,64,1,0.6676276922225952,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-1e-4_bs-64/seed1
ushcn,concat,5e-4,64,1,0.6719908118247986,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-5e-4_bs-64/seed1
ushcn,concat,2e-3,128,1,0.6882602572441101,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-2e-3_bs-128/seed1
ushcn,concat,5e-4,128,1,0.6887697577476501,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-5e-4_bs-128/seed1
ushcn,concat,2e-3,256,1,0.6901431679725647,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-2e-3_bs-256/seed1
ushcn,concat,5e-4,256,1,0.6922237277030945,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-5e-4_bs-256/seed1
ushcn,concat,2e-3,64,1,0.7523699998855591,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real/ushcn/dt-concat_lr-2e-3_bs-64/seed1
