dataset,dt_mode,lr,bs,seed,patience,exit_code,wall_sec,output_dir
activity,replace,1e-4,64,1,10,0,1094,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-1e-4_bs-64/seed1
activity,replace,1e-4,128,1,10,0,2172,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-1e-4_bs-128/seed1
activity,replace,1e-4,256,1,10,0,2464,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-1e-4_bs-256/seed1
activity,replace,5e-4,64,1,10,0,487,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-5e-4_bs-64/seed1
activity,replace,5e-4,128,1,10,0,874,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-5e-4_bs-128/seed1
activity,replace,5e-4,256,1,10,0,1538,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-5e-4_bs-256/seed1
activity,replace,2e-3,64,1,10,0,493,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-2e-3_bs-64/seed1
activity,replace,2e-3,128,1,10,0,791,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-2e-3_bs-128/seed1
activity,replace,2e-3,256,1,10,0,1150,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/activity/dt-replace_lr-2e-3_bs-256/seed1
ushcn,replace,1e-4,64,1,10,0,493,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-1e-4_bs-64/seed1
ushcn,replace,1e-4,128,1,10,0,553,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-1e-4_bs-128/seed1
ushcn,replace,1e-4,256,1,10,0,554,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-1e-4_bs-256/seed1
ushcn,replace,5e-4,64,1,10,0,491,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-5e-4_bs-64/seed1
ushcn,replace,5e-4,128,1,10,0,527,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-5e-4_bs-128/seed1
ushcn,replace,5e-4,256,1,10,0,552,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-5e-4_bs-256/seed1
ushcn,replace,2e-3,64,1,10,0,520,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-2e-3_bs-64/seed1
ushcn,replace,2e-3,128,1,10,0,553,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-2e-3_bs-128/seed1
ushcn,replace,2e-3,256,1,10,0,833,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/ushcn/dt-replace_lr-2e-3_bs-256/seed1
physionet,replace,1e-4,16,4,64,1,10,0,3764,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-1e-4_effbs-64/seed1
physionet,replace,1e-4,16,8,128,1,10,0,7025,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-1e-4_effbs-128/seed1
physionet,replace,1e-4,16,16,256,1,10,0,12902,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-1e-4_effbs-256/seed1
physionet,replace,5e-4,16,4,64,1,10,0,3782,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-5e-4_effbs-64/seed1
physionet,replace,5e-4,16,8,128,1,10,0,6119,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-5e-4_effbs-128/seed1
physionet,replace,5e-4,16,16,256,1,10,0,10485,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-5e-4_effbs-256/seed1
physionet,replace,2e-3,16,4,64,1,10,0,3782,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-2e-3_effbs-64/seed1
physionet,replace,2e-3,16,8,128,1,10,0,5343,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-2e-3_effbs-128/seed1
physionet,replace,2e-3,16,16,256,1,10,0,7692,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_real_replace/physionet/dt-replace_lr-2e-3_effbs-256/seed1
