dt_mode,lr,train_batch_size,seed,regime,exit_code,wall_sec,output_dir
learned,1e-4,64,1,multisin_high_irreg,0,343,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-1e-4_bs-64_seed-1
learned,1e-4,128,1,multisin_high_irreg,0,341,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-1e-4_bs-128_seed-1
learned,1e-4,256,1,multisin_high_irreg,0,337,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-1e-4_bs-256_seed-1
learned,5e-4,64,1,multisin_high_irreg,0,172,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-5e-4_bs-64_seed-1
learned,5e-4,128,1,multisin_high_irreg,0,215,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-5e-4_bs-128_seed-1
learned,5e-4,256,1,multisin_high_irreg,0,320,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-5e-4_bs-256_seed-1
learned,2e-3,64,1,multisin_high_irreg,0,183,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-2e-3_bs-64_seed-1
learned,2e-3,128,1,multisin_high_irreg,0,228,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-2e-3_bs-128_seed-1
learned,2e-3,256,1,multisin_high_irreg,0,338,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-learned_lr-2e-3_bs-256_seed-1
replace,1e-4,64,1,multisin_high_irreg,0,340,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-1e-4_bs-64_seed-1
replace,1e-4,128,1,multisin_high_irreg,0,339,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-1e-4_bs-128_seed-1
replace,1e-4,256,1,multisin_high_irreg,0,336,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-1e-4_bs-256_seed-1
replace,5e-4,64,1,multisin_high_irreg,0,177,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-5e-4_bs-64_seed-1
replace,5e-4,128,1,multisin_high_irreg,0,218,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-5e-4_bs-128_seed-1
replace,5e-4,256,1,multisin_high_irreg,0,467,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-5e-4_bs-256_seed-1
replace,2e-3,64,1,multisin_high_irreg,0,206,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-2e-3_bs-64_seed-1
replace,2e-3,128,1,multisin_high_irreg,0,222,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-2e-3_bs-128_seed-1
replace,2e-3,256,1,multisin_high_irreg,0,303,/home/ubuntu/hongyu/ssm/output/mamba_mv_sweep/multisin_high_irreg/dt-replace_lr-2e-3_bs-256_seed-1
